alternance,date_debut,date_limite_candidature,duree,formacodes,location,name,niveau,session_name,url
True,Début : septembre 2024,30/08/2024,au-delà de 7 mois,,Auvergne-Rhône-Alpes,Technicien-ne d’assistance en informatique,Sortie : bac,Technicien-ne d’assistance en informatique - 100% à Distance en Alternance,https://simplon.co/formation/technicien-d-assistance-en-informatique/8
True,Début : septembre 2024,30/08/2024,au-delà de 7 mois,,Hauts-de-France,Technicien-ne d’assistance en informatique,Sortie : bac,Technicien-ne d’assistance en informatique - 100% à Distance en Alternance,https://simplon.co/formation/technicien-d-assistance-en-informatique/8
True,Début : septembre 2024,30/08/2024,au-delà de 7 mois,,Occitanie,Technicien-ne d’assistance en informatique,Sortie : bac,Technicien-ne d’assistance en informatique,https://simplon.co/formation/technicien-d-assistance-en-informatique/8
True,Début : septembre 2024,30/08/2024,au-delà de 7 mois,,Grand Ouest,Technicien-ne d’assistance en informatique,Sortie : bac,Technicien-ne d’assistance en informatique - 100% à Distance en Alternance,https://simplon.co/formation/technicien-d-assistance-en-informatique/8
True,Début : septembre 2024,30/08/2024,au-delà de 7 mois,,Outre-mer,Technicien-ne d’assistance en informatique,Sortie : bac,Technicien-ne d’assistance en informatique,https://simplon.co/formation/technicien-d-assistance-en-informatique/8
True,Début : septembre 2024,30/08/2024,au-delà de 7 mois,,Nouvelle-Aquitaine,Technicien-ne d’assistance en informatique,Sortie : bac,Technicien-ne d’assistance en informatique,https://simplon.co/formation/technicien-d-assistance-en-informatique/8
True,Début : septembre 2024,30/08/2024,au-delà de 7 mois,,Île-de-France,Technicien-ne d’assistance en informatique,Sortie : bac,Technicien-ne d’assistance en informatique - 100% à Distance en Alternance,https://simplon.co/formation/technicien-d-assistance-en-informatique/8
True,Début : septembre 2024,30/08/2024,au-delà de 7 mois,,Île-de-France,Technicien-ne d’assistance en informatique,Sortie : bac,Technicien-ne d’assistance en informatique - 100% alternance,https://simplon.co/formation/technicien-d-assistance-en-informatique/8
False,Début : septembre 2024,25/08/2024,inférieur à 3 mois,,Grand Ouest,SAS de pré-qualification aux métiers du numérique - filière cybersécurité,,SAS de pré-qualification aux métiers du numérique - spécialité infrastructure,https://simplon.co/formation/sas-de-pre-qualification-aux-metiers-du-numerique-filiere-cybersecurite/905
False,Début : septembre 2024,27/09/2024,inférieur à 3 mois,,Outre-mer,SAS de pré-qualif aux métiers du numérique - filière Infrastructures,,Compétences Fondamentales en Informatique & Linguistique Spécifique,https://simplon.co/formation/sas-de-pre-qualif-aux-metiers-du-numerique-filiere-infrastructures/811
True,Début : septembre 2024,14/09/2024,au-delà de 7 mois,,Île-de-France,Administrateur-trice d’infrastructures sécurisées DevOps,Sortie : bac+3,Administrateur-trice d’infrastructures sécurisées - 100% Alternance,https://simplon.co/formation/administrateur-trice-d-infrastructures-securisees-devops/1250
True,Début : septembre 2024,14/09/2024,au-delà de 7 mois,,Auvergne-Rhône-Alpes,Administrateur-trice d’infrastructures sécurisées,Sortie : bac+3,Administrateur-trice d’infrastructures sécurisées - 100% à Distance en Alternance,https://simplon.co/formation/administrateur-trice-d-infrastructures-securisees/477
True,Début : septembre 2024,14/09/2024,au-delà de 7 mois,,Grand Ouest,Administrateur-trice d’infrastructures sécurisées,Sortie : bac+3,Administrateur-trice d’infrastructures sécurisées - 100% à Distance en Alternance,https://simplon.co/formation/administrateur-trice-d-infrastructures-securisees/477
True,Début : septembre 2024,14/09/2024,au-delà de 7 mois,,Île-de-France,Administrateur-trice d’infrastructures sécurisées,Sortie : bac+3,Administrateur-trice d’infrastructures sécurisées - 100% à distance en Alternance,https://simplon.co/formation/administrateur-trice-d-infrastructures-securisees/477
True,Début : septembre 2024,14/09/2024,au-delà de 7 mois,,Hauts-de-France,Administrateur-trice d’infrastructures sécurisées,Sortie : bac+3,Administrateur-trice d’infrastructures sécurisées,https://simplon.co/formation/administrateur-trice-d-infrastructures-securisees/477
True,Début : septembre 2024,14/09/2024,au-delà de 7 mois,,Provence-Alpes-Cote d'Azur,Administrateur-trice d’infrastructures sécurisées,Sortie : bac+3,Administrateur-trice d’infrastructures sécurisées,https://simplon.co/formation/administrateur-trice-d-infrastructures-securisees/477
True,Début : septembre 2024,14/09/2024,au-delà de 7 mois,,Occitanie,Administrateur-trice d’infrastructures sécurisées,Sortie : bac+3,Administrateur-trice d’infrastructures sécurisées,https://simplon.co/formation/administrateur-trice-d-infrastructures-securisees/477
True,Début : août 2024,11/07/2024,au-delà de 7 mois,,Grand Ouest,École IA Microsoft By Simplon - Développeur-se en intelligence artificielle,Sortie : bac+3,École IA Microsoft By Simplon - Développeur-se en intelligence artificielle,https://simplon.co/formation/ecole-ia-microsoft/23
True,Début : septembre 2024,23/08/2024,au-delà de 7 mois,,Grand Est,École IA Microsoft By Simplon - Développeur-se en intelligence artificielle,Sortie : bac+3,École IA Microsoft By Simplon - Développeur-se en intelligence artificielle,https://simplon.co/formation/ecole-ia-microsoft/23
True,Début : septembre 2024,30/08/2024,au-delà de 7 mois,,Outre-mer,École IA Microsoft By Simplon - Développeur-se en intelligence artificielle,Sortie : bac+3,École IA Microsoft By Simplon - Développeur-se en intelligence artificielle,https://simplon.co/formation/ecole-ia-microsoft/23
False,Début : octobre 2024,01/09/2024,au-delà de 7 mois,,Occitanie,École IA Microsoft By Simplon - Développeur-se en intelligence artificielle,Sortie : bac+3,École IA Microsoft By Simplon - Développeur-se en intelligence artificielle (PRF Région Occitanie),https://simplon.co/formation/ecole-ia-microsoft/23
True,Début : septembre 2024,07/09/2024,au-delà de 7 mois,,Auvergne-Rhône-Alpes,École IA Microsoft By Simplon - Développeur-se en intelligence artificielle,Sortie : bac+3,École IA Microsoft By Simplon - Développeur-se en intelligence artificielle - 100% à Distance en Alternance,https://simplon.co/formation/ecole-ia-microsoft/23
True,Début : septembre 2024,07/09/2024,au-delà de 7 mois,,Île-de-France,École IA Microsoft By Simplon - Développeur-se en intelligence artificielle,Sortie : bac+3,École IA Microsoft By Simplon - Développeur-se en intelligence artificielle,https://simplon.co/formation/ecole-ia-microsoft/23
True,Début : octobre 2024,19/09/2024,au-delà de 7 mois,,Provence-Alpes-Cote d'Azur,École IA Microsoft By Simplon - Développeur-se en intelligence artificielle,Sortie : bac+3,École IA Microsoft By Simplon : Développeur-se en intelligence artificielle - Marseille,https://simplon.co/formation/ecole-ia-microsoft/23
True,Début : octobre 2024,30/09/2024,au-delà de 7 mois,,Île-de-France,École IA Microsoft By Simplon - Développeur-se en intelligence artificielle,Sortie : bac+3,École IA Microsoft By Simplon - Développeur-se en intelligence artificielle,https://simplon.co/formation/ecole-ia-microsoft/23
False,Début : décembre 2024,20/11/2024,au-delà de 7 mois,,Hauts-de-France,École IA Microsoft By Simplon - Développeur-se en intelligence artificielle,Sortie : bac+3,École IA Microsoft By Simplon - Développeur-se en intelligence artificielle,https://simplon.co/formation/ecole-ia-microsoft/23
False,Début : octobre 2024,10/09/2024,inférieur à 3 mois,,Hauts-de-France,SAS de pré-qualification aux métiers du numérique - Intelligence Artificielle,,SAS de pré-qualification aux métiers de la Data et de l'IA,https://simplon.co/formation/sas-de-pre-qualification-aux-metiers-du-numerique-filiere-intelligence-artificielle/816
False,Début : juillet 2024,09/07/2024,inférieur à 10 jours,,Grand Ouest,Elaborez une solution d’IA pour votre PME/TPE !,,Elaborez une solution d’IA pour votre PME/TPE !,https://simplon.co/formation/elaborez-une-solution-d-ia-pour-votre-pme-tpe/1512
True,Début : octobre 2024,21/09/2024,au-delà de 7 mois,,Auvergne-Rhône-Alpes,Data Engineer,,Data Engineer - 100% à Distance en Alternance,https://simplon.co/formation/data-engineer/744
True,Début : octobre 2024,21/09/2024,,,Grand Ouest,Data Engineer,,Data Engineer - 100% à Distance en Alternance,https://simplon.co/formation/data-engineer/744
True,Début : octobre 2024,21/09/2024,au-delà de 7 mois,,Occitanie,Data Engineer,,Data Engineer,https://simplon.co/formation/data-engineer/744
True,Début : octobre 2024,21/09/2024,au-delà de 7 mois,,Île-de-France,Data Engineer,,Data Engineer,https://simplon.co/formation/data-engineer/744
False,Début : octobre 2024,21/09/2024,au-delà de 7 mois,,Nouvelle-Aquitaine,Data Engineer,,Data Engineer,https://simplon.co/formation/data-engineer/744
False,Début : octobre 2024,21/09/2024,au-delà de 7 mois,,Provence-Alpes-Cote d'Azur,Data Engineer,,Data Engineer,https://simplon.co/formation/data-engineer/744
False,Début : octobre 2024,21/09/2024,au-delà de 7 mois,,Outre-mer,Data Engineer,,Data Engineer,https://simplon.co/formation/data-engineer/744
True,Début : mars 2025,23/02/2025,au-delà de 7 mois,,Occitanie,Data Engineer,,Data Engineer [Alternance],https://simplon.co/formation/data-engineer/744
True,Début : octobre 2024,21/09/2024,au-delà de 7 mois,,Auvergne-Rhône-Alpes,Chef / Cheffe de projet en intelligence artificielle,,Chef / Cheffe de projet en intelligence artificielle - 100% à Distance en Alternance,https://simplon.co/formation/chef-cheffe-de-projet-en-intelligence-artificielle-2/1578
True,Début : octobre 2024,21/09/2024,au-delà de 7 mois,,Hauts-de-France,Chef / Cheffe de projet en intelligence artificielle,,Chef / Cheffe de projet en intelligence artificielle,https://simplon.co/formation/chef-cheffe-de-projet-en-intelligence-artificielle-2/1578
True,Début : octobre 2024,21/09/2024,au-delà de 7 mois,,Île-de-France,Chef / Cheffe de projet en intelligence artificielle,,Chef / Cheffe de projet en intelligence artificielle,https://simplon.co/formation/chef-cheffe-de-projet-en-intelligence-artificielle-2/1578
True,Début : octobre 2024,21/09/2024,au-delà de 7 mois,,Provence-Alpes-Cote d'Azur,Chef / Cheffe de projet en intelligence artificielle,,Chef / Cheffe de projet en intelligence artificielle,https://simplon.co/formation/chef-cheffe-de-projet-en-intelligence-artificielle-2/1578
